label,MAV,RMS,ZCR,VAR,WL
hello,0.22730961155534843,0.3559231263693462,38,0.07760791935174,4.981692892334261
hello,0.22817235388359206,0.355144429313947,39,0.07635121382067245,4.671851490763067
hello,0.22740980171492312,0.3543611846863639,42,0.07613151445661318,5.068069684321763
hello,0.22815939175368463,0.35759630437768997,39,0.07770794081328697,4.452495069582582
hello,0.2263707661396522,0.35437041221040055,41,0.07700922098361046,4.799592604186303
hello,0.22697938156931094,0.3550584279145736,31,0.07635169619311435,4.730600532058718
hello,0.2290254165873056,0.3565779256020709,38,0.07772980270020885,5.186884275425468
hello,0.22812885278760484,0.3557673632173577,30,0.07651134195029957,4.411141187033946
hello,0.2270720631528804,0.3552710523376892,33,0.07595091287679988,4.852569979254108
hello,0.22878048305107682,0.354319779190626,40,0.07527589066046525,5.0586448938366955
hello,0.22867472506848985,0.3558172097401433,40,0.07679439667934009,4.941377087811
hello,0.22872462690618484,0.35710166798241666,31,0.07765359963891658,5.457447872437893
hello,0.22785422035580974,0.35588065871263397,32,0.07687592544279825,5.163066927850526
hello,0.22750004063273557,0.3538607912632682,33,0.07562258912661667,4.578678096124578
hello,0.22885468397602204,0.35562412570716073,32,0.07563059420062217,4.5262253009700935
hello,0.228862262979233,0.35828173787304574,43,0.07924723395431549,4.661024453034328
hello,0.22738122705862154,0.35352717054222554,47,0.07574199058963615,4.607846504868842
hello,0.22756052027331258,0.35597570839437337,38,0.07698548984633266,4.853458572540427
hello,0.2283239971940568,0.3565613873513934,45,0.07752382455167657,4.795961010173066
hello,0.22641064159185606,0.3538911028129028,33,0.07581768218975303,4.438608031667242
hello,0.23118778155405273,0.3585617961019341,45,0.07817535772944481,5.52603089544052
hello,0.2262336051461849,0.35401288900556793,35,0.07636874584582254,4.41600360998161
hello,0.22798791905467528,0.35443148083167536,35,0.07564827358014058,4.558821166659872
hello,0.22783565445597703,0.35348050135171455,36,0.07561765166442534,4.936132804112654
hello,0.22938402159570856,0.3533095264303825,50,0.07516481185867524,5.41746431152784
hello,0.22765371825494043,0.35509343723995296,35,0.07641141695299795,5.006222794243776
hello,0.22596732573104122,0.35417687435168166,39,0.07626765758327489,4.713504022002811
hello,0.22938586586455675,0.3565701883322567,51,0.07699811168341594,5.131449364329246
hello,0.22883893873357547,0.35668880557225374,47,0.07733489368948746,5.009676757103449
hello,0.2281292189711689,0.3538701957931471,45,0.0760436163695835,4.698148211497164
hello,0.22805932936444734,0.35623985409239955,43,0.07727466081107635,4.407936369058743
hello,0.22852297641582767,0.356910155140771,48,0.07770383804371316,4.666995887984841
hello,0.22983879799227616,0.35750050793097465,39,0.07853740313602522,5.024428597597357
hello,0.22691513323675472,0.3538939748194221,35,0.07610076806406461,4.963311893324983
hello,0.2275235995353211,0.3548645437275309,41,0.07646716936181393,5.009162115088271
hello,0.22729798571600537,0.35393163777406794,43,0.07604052455362853,4.731636525735706
hello,0.2288413145452915,0.3560861147447964,46,0.07656160344723238,4.857600389997868
hello,0.22978832482988892,0.3579285697297739,39,0.07809799548821283,4.936177727680582
